,level_0,index,dvfs_level,VALUBusy,SALUBusy,MemUnitBusy,sm_app_clock,power_usage,dram_active,fp_active,n_power_usage,n_sm_app_clock,predicted_n_power_usage,predicted_power_usage,run_time,n_run_time,predicted_n_run_time,energy,n_energy,predicted_n_energy,Application
0,0,0,0,0.8845327152418986,0.5326233370699345,5.136557099340315,500.0,106.76310415248469,0.0513655709934031,0.0141715605231183,0.4099251022687312,0.2941176470588235,0.45463455,118.40748,3007.0,1.0,1.0639989,321036.6541865214,106.76310415248469,125.9854329246998,GROMACS
1,1,1,1,0.8845327152418986,0.5326233370699345,5.136557099340315,1700.0,260.4453924914676,0.0513655709934031,0.0141715605231183,1.0,1.0,0.990638,258.0071,1981.0,0.6587961423345527,0.6331382,515942.3225255973,171.58041986218734,163.35414566407204,GROMACS
2,2,2,2,0.8845327152418986,0.5326233370699345,5.136557099340315,1670.8191126279864,257.30887372013655,0.0513655709934031,0.0141715605231183,0.9879570963366772,0.9828347721341096,0.96880573,252.321,2079.0,0.6913867642168274,0.6398831,534945.1484641639,177.89994960564147,161.4559439240098,GROMACS
3,0,0,0,0.1574009626225326,0.0661797814385549,1.953234907737841,500.0,37.95903859174001,0.0150223936240425,0.0015525635085542,0.6461417328828581,0.2941176470588235,0.6304393,37.036564,372.4,1.0,1.144119,14135.94597156398,37.95903859174001,42.37423746624279,LSTM
4,1,1,1,0.1093119732103196,0.0459443776451011,1.5022393624042565,1700.0,58.747232472324725,0.0150223936240425,0.0015525635085542,1.0,1.0,1.0039208,58.97757,197.1,0.5292696025778733,0.5303196,11579.079520295203,31.09312438317724,31.27695965021968,LSTM
5,2,2,2,0.1093119732103196,0.0459443776451011,1.5022393624042565,1699.4423791821562,58.70260223048327,0.0150223936240425,0.0015525635085542,0.9992403005220292,0.9996719877542096,1.0036266,58.960285,197.8,0.5311493018259936,0.5305107,11611.374721189592,31.17984619009021,31.279063458472788,LSTM
6,0,0,0,23.86711320112183,5.819659437038745,37.86369585655803,500.0,55.7646511627907,0.3039447519845235,0.1805728770758224,0.5354263193738905,0.2941176470588235,0.5505884,57.343784,1505.7,1.0,0.95939964,83964.83525581396,55.7646511627907,55.01560575795889,BERT
7,1,1,1,19.119891714711446,4.7107184956817285,34.14675750296291,1700.0,103.80237154150196,0.3039447519845235,0.1805728770758224,0.9966622327556596,1.0,0.9768449,101.738396,725.1,0.4815700338712891,0.47823,75267.09960474307,49.988111579161234,48.65435307250785,BERT
8,2,2,2,14.43761359240956,3.619674115172685,30.394475198452348,1698.2,104.15,0.3039447519845235,0.1805728770758224,1.0,0.9989411764705882,0.9756558,101.614555,720.3,0.4783821478382147,0.47839564,75019.245,49.82350069735007,48.6119601589194,BERT
9,0,0,0,15.427101503235814,5.754388758869356,31.43942299431265,500.0,44.85497835497836,0.2592157878363101,0.1413878354555929,0.6047862250109441,0.2941176470588235,0.55281854,41.000706,654.4,1.0,0.8698866,29353.09783549784,44.85497835497836,35.66596380222738,ResNet50
10,1,1,1,9.128611414317245,3.32767010892444,22.19876099834213,1700.0,74.16666666666667,0.2592157878363101,0.1413878354555929,1.0,1.0,0.9620799,71.354256,358.6,0.5479828850855746,0.53879035,26596.16666666667,40.64206397718012,38.44498422115517,ResNet50
11,2,2,2,10.382868307669556,3.755915237889739,25.921578783631016,1696.4,73.704,0.2592157878363101,0.1413878354555929,0.9937617977528088,0.9978823529411766,0.9599972,71.19979,362.6,0.5540953545232274,0.5389791,26725.0704,40.839044009779954,38.37519966724575,ResNet50
