,level_0,index,dvfs_level,VALUBusy,SALUBusy,MemUnitBusy,sm_app_clock,power_usage,dram_active,fp_active,n_power_usage,n_sm_app_clock,predicted_n_power_usage,predicted_power_usage,run_time,n_run_time,predicted_n_run_time,energy,n_energy,predicted_n_energy,Application
0,0,0,0,0.8845327152418986,0.5326233370699345,5.136557099340315,500.0,106.76310415248469,0.0513655709934031,0.0141715605231183,0.4099251022687312,0.2941176470588235,0.38781872,101.00561,3007.0,1.0,1.1089765,321036.6541865214,106.76310415248469,112.01284617591978,GROMACS
1,1,1,1,0.8845327152418986,0.5326233370699345,5.136557099340315,1700.0,260.4453924914676,0.0513655709934031,0.0141715605231183,1.0,1.0,0.99702543,259.6707,1981.0,0.6587961423345527,0.65008134,515942.3225255973,171.58041986218734,168.80707570543885,GROMACS
2,2,2,2,0.8845327152418986,0.5326233370699345,5.136557099340315,1670.8191126279864,257.30887372013655,0.0513655709934031,0.0141715605231183,0.9879570963366772,0.9828347721341096,0.9722028,253.20575,2079.0,0.6913867642168274,0.65605646,534945.1484641639,177.89994960564147,166.11726893816888,GROMACS
3,0,0,0,0.1574009626225326,0.0661797814385549,1.953234907737841,500.0,37.95903859174001,0.0150223936240425,0.0015525635085542,0.6461417328828581,0.2941176470588235,0.654094,38.426212,372.4,1.0,1.0295565,14135.94597156398,37.95903859174001,39.56195682808781,LSTM
4,1,1,1,0.1093119732103196,0.0459443776451011,1.5022393624042565,1700.0,58.747232472324725,0.0150223936240425,0.0015525635085542,1.0,1.0,0.9614574,56.48296,197.1,0.5292696025778733,0.5290781,11579.079520295203,31.09312438317724,29.88389862511635,LSTM
5,2,2,2,0.1093119732103196,0.0459443776451011,1.5022393624042565,1699.4423791821562,58.70260223048327,0.0150223936240425,0.0015525635085542,0.9992403005220292,0.9996719877542096,0.96113336,56.46393,197.8,0.5311493018259936,0.5292131,11611.374721189592,31.17984619009021,29.881449788657427,LSTM
6,0,0,0,23.86711320112183,5.819659437038745,37.86369585655803,500.0,55.7646511627907,0.3039447519845235,0.1805728770758224,0.5354263193738905,0.2941176470588235,0.51838416,53.98971,1505.7,1.0,0.95785475,83964.83525581396,55.7646511627907,51.71430005434513,BERT
7,1,1,1,19.119891714711446,4.7107184956817285,34.14675750296291,1700.0,103.80237154150196,0.3039447519845235,0.1805728770758224,0.9966622327556596,1.0,0.9375595,97.64682,725.1,0.4815700338712891,0.46442002,75267.09960474307,49.988111579161234,45.349138154000045,BERT
8,2,2,2,14.43761359240956,3.619674115172685,30.394475198452348,1698.2,104.15,0.3039447519845235,0.1805728770758224,1.0,0.9989411764705882,0.9364303,97.52921,720.3,0.4783821478382147,0.4647027,75019.245,49.82350069735007,45.32208678753227,BERT
9,0,0,0,15.427101503235814,5.754388758869356,31.43942299431265,500.0,44.85497835497836,0.2592157878363101,0.1413878354555929,0.6047862250109441,0.2941176470588235,0.6072663,45.038918,654.4,1.0,0.9923824,29353.09783549784,44.85497835497836,44.69582986200166,ResNet50
10,1,1,1,9.128611414317245,3.32767010892444,22.19876099834213,1700.0,74.16666666666667,0.2592157878363101,0.1413878354555929,1.0,1.0,0.9649665,71.568344,358.6,0.5479828850855746,0.5100166,26596.16666666667,40.64206397718012,36.50104491726732,ResNet50
11,2,2,2,10.382868307669556,3.755915237889739,25.921578783631016,1696.4,73.704,0.2592157878363101,0.1413878354555929,0.9937617977528088,0.9978823529411766,0.9629594,71.41949,362.6,0.5540953545232274,0.5104914,26725.0704,40.839044009779954,36.45903337727547,ResNet50
